Name,Type,FDC ID,Protein (g),Total Fat (g),Carbs (g),Calories (kcal),Sugars (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),Copper (mg),Selenium (mcg),Vitamin A (mcg),Vitamin E (mg),Vitamin D (mcg),Vitamin C (mg),Vitamin B-1 (mg),Vitamin B-2 (mg),Vitamin B-3 (mg),Vitamin B-6 (mg),Folate (mcg),Vitamin B-12 (mcg),Vitamin K (mcg),Cholesterol (mg),Saturated Fat (g),Omega-3 EPA (g),Monounsaturated Fat (g),Polyunsaturated Fat (g)
"Rice with Spanish sausage, Puerto Rican style",N/A,2708979,8.39,13.6,32.4,289.0,0.4,0.8,28.0,2.29,20.0,105.0,189.0,943.0,1.07,0.136,13.0,3.0,1.39,0.4,3.0,0.281,0.133,3.53,0.224,66.0,0.31,7.2,30.0,3.73,0.001,5.84,3.07
Rice with raisins,N/A,2709090,2.65,2.58,32.1,162.0,6.49,0.8,15.0,1.21,14.0,47.0,104.0,447.0,0.46,0.086,6.5,23.0,0.3,0.1,0.2,0.151,0.025,1.35,0.098,50.0,0.0,3.0,0.0,0.51,0.0,1.19,0.766
"Rice with squid, Puerto Rican style",N/A,2708977,8.87,11.8,29.3,264.0,1.1,0.8,29.0,1.81,25.0,128.0,198.0,559.0,1.03,0.845,22.9,25.0,3.14,0.0,22.7,0.161,0.198,2.41,0.136,54.0,0.47,6.4,93.0,1.9,0.058,7.34,1.66
"Rice with stewed beans, Puerto Rican style",N/A,2708980,3.66,3.23,23.0,138.0,0.1,1.5,25.0,1.51,20.0,50.0,134.0,464.0,0.59,0.102,5.1,0.0,0.78,0.0,0.0,0.128,0.017,0.973,0.078,53.0,0.0,3.7,0.0,0.466,0.0,1.33,1.22
"Rice with vienna sausage, Puerto Rican style",N/A,2708978,6.46,11.6,33.5,269.0,0.41,0.8,21.0,1.98,15.0,72.0,115.0,959.0,0.95,0.113,10.9,2.0,0.98,0.2,1.6,0.223,0.056,2.29,0.118,67.0,0.24,4.9,24.0,3.3,0.0,5.4,2.17
"Rice, brown and wild, cooked, NS as to fat",N/A,2708431,2.2,2.72,19.9,112.0,0.25,0.9,6.0,0.34,34.0,80.0,69.0,509.0,0.66,0.085,3.4,20.0,0.38,0.1,0.0,0.061,0.031,1.65,0.049,6.0,0.0,2.5,0.0,0.502,0.0,1.18,0.833
"Rice, brown and wild, cooked, fat added",N/A,2708430,2.82,3.24,24.3,138.0,0.3,1.6,3.0,0.55,37.0,97.0,85.0,202.0,0.77,0.105,5.0,0.0,0.63,0.0,0.0,0.157,0.069,2.33,0.121,11.0,0.0,2.6,0.0,0.544,0.0,1.33,1.25
"Rice, brown and wild, cooked, no added fat",N/A,2708427,2.89,0.88,24.9,120.0,0.3,1.6,3.0,0.56,38.0,100.0,87.0,206.0,0.79,0.107,5.1,0.0,0.18,0.0,0.0,0.161,0.071,2.38,0.124,11.0,0.0,0.2,0.0,0.232,0.0,0.326,0.344
"Rice, brown, cooked, NS as to fat",N/A,2708409,2.44,1.11,25.8,123.0,0.22,1.0,5.0,0.4,39.0,97.0,80.0,201.0,0.63,0.094,5.0,0.0,0.2,0.0,0.0,0.088,0.031,2.11,0.052,5.0,0.0,0.2,0.0,0.199,0.0,0.354,0.336
"Rice, brown, cooked, as ingredient",N/A,2710789,2.45,1.12,25.9,124.0,0.22,1.0,5.0,0.4,40.0,97.0,80.0,3.0,0.63,0.094,5.0,0.0,0.2,0.0,0.0,0.088,0.031,2.12,0.052,5.0,0.0,0.2,0.0,0.2,0.0,0.356,0.338
