Name,Type,FDC ID,Protein (g),Total Fat (g),Carbs (g),Calories (kcal),Sugars (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),Copper (mg),Selenium (mcg),Vitamin A (mcg),Vitamin E (mg),Vitamin D (mcg),Vitamin C (mg),Vitamin B-1 (mg),Vitamin B-2 (mg),Vitamin B-3 (mg),Vitamin B-6 (mg),Folate (mcg),Vitamin B-12 (mcg),Vitamin K (mcg),Cholesterol (mg),Saturated Fat (g),Omega-3 EPA (g),Monounsaturated Fat (g),Polyunsaturated Fat (g)
"Classic mixed vegetables, canned, cooked with oil",N/A,2710020,2.05,3.54,8.58,71.0,2.72,2.5,21.0,0.7,13.0,39.0,125.0,243.0,0.35,0.069,0.8,151.0,0.85,0.0,2.5,0.042,0.053,0.666,0.057,24.0,0.0,23.7,0.0,0.515,0.0,1.35,1.41
"Classic mixed vegetables, canned, cooked, fat added, NS as to fat type",N/A,2710017,2.06,3.18,8.59,68.0,2.72,2.5,21.0,0.7,13.0,39.0,125.0,252.0,0.35,0.069,0.8,162.0,0.68,0.0,2.5,0.042,0.053,0.666,0.074,24.0,0.0,22.9,2.0,0.794,0.0,1.02,1.02
"Classic mixed vegetables, canned, cooked, no added fat",N/A,2710014,2.11,0.65,8.84,46.0,2.8,2.6,22.0,0.72,13.0,40.0,128.0,250.0,0.36,0.071,0.8,155.0,0.31,0.0,2.6,0.043,0.054,0.686,0.059,24.0,0.0,21.4,0.0,0.129,0.0,0.118,0.299
"Classic mixed vegetables, canned, reduced sodium, cooked with butter or margarine",N/A,2710025,1.91,2.81,8.94,64.0,2.85,2.3,24.0,0.79,14.0,38.0,128.0,33.0,0.43,0.073,0.7,187.0,0.43,0.1,4.3,0.044,0.044,0.639,0.1,26.0,0.0,18.2,4.0,1.09,0.0,0.676,0.552
"Classic mixed vegetables, canned, reduced sodium, cooked with oil",N/A,2710024,1.89,3.59,8.93,71.0,2.84,2.3,23.0,0.79,14.0,38.0,127.0,15.0,0.43,0.073,0.7,162.0,0.8,0.0,4.3,0.044,0.044,0.639,0.064,26.0,0.0,20.0,0.0,0.488,0.0,1.39,1.39
"Classic mixed vegetables, canned, reduced sodium, cooked, fat added, NS as to fat type",N/A,2710023,1.9,3.2,8.93,68.0,2.85,2.3,24.0,0.79,14.0,38.0,128.0,24.0,0.43,0.073,0.7,174.0,0.61,0.0,4.3,0.044,0.044,0.639,0.082,26.0,0.0,19.1,2.0,0.79,0.0,1.03,0.97
"Classic mixed vegetables, canned, reduced sodium, cooked, no added fat",N/A,2710022,1.95,0.45,9.19,44.0,2.93,2.4,24.0,0.81,15.0,39.0,131.0,15.0,0.45,0.076,0.7,167.0,0.2,0.0,4.5,0.045,0.045,0.658,0.066,27.0,0.0,17.3,0.0,0.07,0.0,0.054,0.183
"Classic mixed vegetables, cooked, from restaurant",N/A,2710012,2.84,4.74,12.4,100.0,4.64,3.4,25.0,0.69,27.0,68.0,265.0,227.0,0.56,0.096,0.7,234.0,0.94,0.0,13.6,0.12,0.09,1.39,0.143,37.0,0.0,23.7,3.0,1.2,0.0,1.6,1.41
"Classic mixed vegetables, frozen, cooked with butter or margarine",N/A,2710019,2.78,2.33,12.7,83.0,3.03,4.3,25.0,0.8,21.0,50.0,164.0,163.0,0.48,0.08,0.3,230.0,0.58,0.0,3.1,0.069,0.117,0.824,0.104,18.0,0.0,24.0,4.0,0.974,0.0,0.586,0.415
"Classic mixed vegetables, frozen, cooked with oil",N/A,2710018,2.77,3.05,12.7,89.0,3.02,4.3,24.0,0.8,21.0,49.0,164.0,146.0,0.47,0.08,0.3,207.0,0.92,0.0,3.1,0.069,0.116,0.824,0.072,18.0,0.0,25.7,0.0,0.418,0.0,1.24,1.18
"Classic mixed vegetables, frozen, cooked, fat added, NS as to fat type",N/A,2710016,2.78,2.69,12.7,86.0,3.02,4.3,25.0,0.8,21.0,50.0,164.0,155.0,0.48,0.08,0.3,219.0,0.75,0.0,3.1,0.069,0.116,0.824,0.088,18.0,0.0,24.8,2.0,0.696,0.0,0.913,0.8
"Classic mixed vegetables, frozen, cooked, no added fat",N/A,2710013,2.85,0.15,13.0,65.0,3.11,4.4,25.0,0.82,22.0,51.0,168.0,151.0,0.49,0.083,0.3,213.0,0.38,0.0,3.2,0.071,0.12,0.848,0.074,19.0,0.0,23.4,0.0,0.031,0.0,0.01,0.072
"Clementine, raw",N/A,2709164,0.81,0.31,13.3,53.0,10.6,1.8,37.0,0.15,12.0,20.0,166.0,2.0,0.07,0.042,0.1,34.0,0.2,0.0,26.7,0.058,0.036,0.376,0.078,16.0,0.0,0.0,0.0,0.039,0.0,0.06,0.065
Club sandwich on wheat,N/A,2706995,16.0,7.65,21.4,220.0,2.56,2.4,79.0,1.76,38.0,231.0,315.0,765.0,1.51,0.115,28.2,1.0,0.3,0.2,0.1,0.328,0.213,6.21,0.308,34.0,0.29,2.5,31.0,2.21,0.002,2.73,1.78
"Club sandwich on wheat, with cheese",N/A,2706996,16.6,10.5,19.1,239.0,2.59,2.1,192.0,1.58,36.0,279.0,293.0,798.0,1.72,0.104,27.4,38.0,0.35,0.7,0.0,0.286,0.233,5.37,0.277,31.0,0.46,2.5,39.0,4.15,0.003,3.24,1.68
Club sandwich on white,N/A,2706993,15.1,7.48,23.1,222.0,2.62,1.0,101.0,1.86,24.0,207.0,283.0,769.0,1.29,0.085,26.2,1.0,0.24,0.2,0.0,0.378,0.224,6.16,0.277,51.0,0.29,0.1,31.0,2.25,0.002,2.76,1.92
"Club sandwich on white, with cheese",N/A,2706994,15.8,10.4,20.6,241.0,2.64,0.9,211.0,1.66,25.0,258.0,264.0,802.0,1.54,0.077,25.6,38.0,0.3,0.7,0.0,0.33,0.244,5.33,0.25,46.0,0.46,0.4,39.0,4.19,0.003,3.26,1.8
"Club sandwich or sub, restaurant",N/A,2706997,16.0,10.6,18.4,234.0,2.47,0.8,222.0,1.52,25.0,270.0,271.0,814.0,1.58,0.072,25.2,44.0,0.31,0.8,0.0,0.306,0.246,5.2,0.256,42.0,0.49,0.5,41.0,4.42,0.003,3.23,1.69
"Cobb salad, no dressing",N/A,2709832,11.3,4.33,2.65,93.0,1.1,1.2,25.0,0.45,18.0,120.0,281.0,159.0,0.58,0.064,11.2,82.0,0.66,0.2,9.0,0.075,0.125,3.64,0.186,25.0,0.2,31.9,61.0,1.05,0.001,2.12,0.634
"Cobbler, apple",N/A,2708019,2.05,8.66,33.6,217.0,16.9,1.6,9.0,0.98,7.0,28.0,79.0,180.0,0.17,0.046,2.3,1.0,0.26,0.0,0.6,0.105,0.066,1.08,0.03,22.0,0.0,2.6,0.0,2.78,0.0,4.07,1.08
"Cobbler, berry",N/A,2708020,2.66,8.86,36.2,231.0,17.6,4.0,24.0,1.32,18.0,43.0,118.0,179.0,0.3,0.102,2.3,4.0,0.86,0.0,1.9,0.107,0.076,1.76,0.05,41.0,0.0,14.2,0.0,2.79,0.0,4.09,1.22
"Cobbler, cherry",N/A,2708021,2.37,8.69,38.1,237.0,21.7,1.8,13.0,1.04,10.0,33.0,107.0,179.0,0.2,0.072,2.1,4.0,0.29,0.0,1.2,0.102,0.072,1.26,0.03,23.0,0.0,3.1,0.0,2.8,0.0,4.08,1.09
"Cobbler, peach",N/A,2708022,2.22,8.66,33.0,217.0,16.6,1.7,9.0,1.08,9.0,32.0,119.0,182.0,0.21,0.062,2.3,14.0,0.42,0.0,1.7,0.095,0.062,1.32,0.032,22.0,0.0,3.2,0.0,2.79,0.0,4.08,1.09
Cocktail sauce,N/A,2709753,1.36,1.05,28.2,128.0,11.8,1.8,26.0,0.83,17.0,30.0,309.0,1260.0,0.38,0.111,2.2,18.0,1.08,0.0,11.6,0.021,0.047,0.82,0.08,17.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0
"Cocktail, NFS",N/A,2710626,0.0,0.19,7.8,89.0,7.48,0.0,1.0,0.02,0.0,8.0,4.0,3.0,0.08,0.01,0.1,0.0,0.0,0.0,0.0,0.001,0.001,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cocoa powder, not reconstituted",N/A,2705587,19.6,13.7,57.9,228.0,1.75,37.0,128.0,13.9,499.0,734.0,1520.0,21.0,6.81,3.79,14.3,0.0,0.1,0.0,0.0,0.078,0.241,2.18,0.118,32.0,0.0,2.5,0.0,8.07,0.0,4.57,0.44
"Coconut cream, canned, sweetened",N/A,2707571,1.17,16.3,53.2,357.0,51.5,0.2,4.0,0.13,17.0,22.0,101.0,36.0,0.6,0.236,5.5,0.0,0.13,0.0,0.0,0.022,0.04,0.038,0.029,14.0,0.0,0.1,0.0,15.5,0.0,0.679,0.159
Coconut milk,N/A,2705413,0.21,2.08,2.92,31.0,2.5,0.0,188.0,0.3,0.0,0.0,19.0,19.0,0.0,0.0,0.0,63.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,2.08,0.0,0.0,0.0
"Coconut milk, used in cooking",N/A,2707568,2.29,23.8,5.54,230.0,3.34,2.2,16.0,1.64,37.0,100.0,263.0,15.0,0.67,0.266,6.2,0.0,0.15,0.0,2.8,0.026,0.0,0.76,0.033,16.0,0.0,0.1,0.0,21.1,0.0,1.01,0.261
Coconut oil,N/A,2710182,0.0,99.1,0.84,895.0,0.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,82.5,0.0,6.31,1.7
"Coconut water, sweetened",N/A,2707573,0.21,0.02,9.07,37.0,8.78,0.0,7.0,0.03,6.0,5.0,157.0,25.0,0.02,0.008,0.0,0.0,0.0,0.0,9.4,0.028,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Coconut water, unsweetened",N/A,2707572,0.22,0.0,4.24,18.0,3.92,0.0,7.0,0.03,6.0,5.0,165.0,26.0,0.02,0.008,0.0,0.0,0.0,0.0,9.9,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Coconut, fresh",N/A,2707500,3.33,33.5,15.2,354.0,6.23,9.0,14.0,2.43,32.0,113.0,356.0,20.0,1.1,0.435,10.1,0.0,0.24,0.0,3.3,0.066,0.02,0.54,0.054,26.0,0.0,0.2,0.0,29.7,0.0,1.42,0.366
"Coconut, packaged",N/A,2707501,3.13,28.0,51.8,456.0,36.8,9.9,11.0,1.51,51.0,100.0,361.0,285.0,0.71,0.295,16.1,0.0,0.0,0.0,0.0,0.015,0.015,0.697,0.03,3.0,0.0,0.0,0.0,26.4,0.0,1.38,0.222
"Codfish salad, Puerto Rican style, Serenata",N/A,2706871,6.61,15.9,2.81,183.0,1.51,0.7,15.0,0.36,17.0,83.0,245.0,415.0,0.24,0.038,10.4,17.0,3.67,0.3,5.6,0.043,0.032,0.883,0.12,10.0,0.28,6.5,15.0,2.48,0.001,10.8,1.58
"Codfish with starchy vegetables, Puerto Rican style",N/A,2706719,3.53,5.43,18.5,135.0,2.93,2.7,30.0,0.51,27.0,74.0,419.0,54.0,0.26,0.118,4.5,134.0,2.26,0.1,4.8,0.065,0.038,0.676,0.2,13.0,0.09,5.4,6.0,0.852,0.0,3.58,0.562
"Coffee and chicory, brewed",N/A,2710470,0.12,0.02,0.0,1.0,0.0,0.0,2.0,0.01,3.0,3.0,49.0,2.0,0.02,0.002,0.0,0.0,0.01,0.0,0.0,0.014,0.076,0.191,0.001,2.0,0.0,0.1,0.0,0.002,0.0,0.015,0.001
"Coffee and chicory, brewed, decaffeinated",N/A,2710471,0.1,0.0,0.0,0.0,0.0,0.0,2.0,0.05,5.0,1.0,54.0,2.0,0.02,0.007,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.1,0.0,0.002,0.0,0.0,0.002
"Coffee cake, crumb or quick-bread type",N/A,2708079,6.49,18.4,51.3,396.0,26.6,1.4,134.0,2.23,26.0,138.0,132.0,319.0,0.68,0.159,8.2,123.0,0.17,0.5,0.1,0.265,0.203,1.99,0.093,48.0,0.14,1.3,63.0,6.88,0.003,3.41,5.04
"Coffee cake, crumb or quick-bread type, cheese-filled",N/A,2708081,6.8,17.6,45.1,365.0,22.9,1.2,150.0,1.93,25.0,144.0,150.0,291.0,0.67,0.137,7.9,126.0,0.19,0.5,0.1,0.233,0.226,1.73,0.092,42.0,0.18,1.2,61.0,7.01,0.003,3.33,4.38
"Coffee cake, crumb or quick-bread type, with fruit",N/A,2708080,4.2,11.8,50.2,322.0,33.8,1.2,87.0,1.44,17.0,90.0,105.0,203.0,0.45,0.11,5.3,79.0,0.12,0.3,0.9,0.173,0.139,1.28,0.069,30.0,0.09,1.0,40.0,4.38,0.002,2.17,3.21
"Coffee cake, yeast type",N/A,2707677,6.2,16.4,50.9,372.0,31.7,2.4,72.0,1.6,17.0,76.0,111.0,304.0,0.59,0.088,17.0,62.0,1.99,0.0,2.0,0.324,0.265,2.38,0.107,72.0,0.14,4.4,66.0,3.08,0.0,4.8,7.47
"Coffee creamer, NFS",N/A,2705599,1.0,9.97,11.4,136.0,11.4,0.0,9.0,0.03,0.0,64.0,191.0,67.0,0.02,0.0,1.1,1.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,1.94,0.0,7.55,0.027
"Coffee creamer, liquid",N/A,2705600,1.0,9.97,11.4,136.0,11.4,0.0,9.0,0.03,0.0,64.0,191.0,67.0,0.02,0.0,1.1,1.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,1.94,0.0,7.55,0.027
"Coffee creamer, liquid, fat free",N/A,2705602,0.8,3.5,9.1,71.0,9.1,0.0,1.0,0.56,0.0,75.0,177.0,60.0,0.05,0.0,0.9,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.896,0.0,2.03,0.42
"Coffee creamer, liquid, fat free, flavored",N/A,2705603,0.6,2.7,31.7,154.0,31.8,0.0,1.0,0.43,0.0,56.0,133.0,45.0,0.04,0.002,0.8,0.0,0.21,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.7,0.0,0.672,0.0,1.52,0.315
"Coffee creamer, liquid, fat free, sugar free, flavored",N/A,2705604,0.8,3.5,9.1,71.0,9.1,0.0,1.0,0.56,0.0,75.0,177.0,60.0,0.05,0.0,0.9,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.896,0.0,2.03,0.42
"Coffee creamer, liquid, flavored",N/A,2705601,0.69,13.5,35.1,251.0,33.0,1.1,6.0,0.59,19.0,28.0,96.0,67.0,0.25,0.142,0.7,0.0,1.58,0.0,0.0,0.004,0.024,0.091,0.004,1.0,0.0,3.3,0.0,2.64,0.0,4.0,6.27
"Coffee creamer, liquid, sugar free, flavored",N/A,2705605,0.8,3.5,9.1,71.0,9.1,0.0,1.0,0.56,0.0,75.0,177.0,60.0,0.05,0.0,0.9,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.896,0.0,2.03,0.42
"Coffee creamer, powder",N/A,2705606,2.48,32.9,59.3,529.0,7.77,0.0,2.0,0.26,1.0,288.0,669.0,124.0,0.07,0.018,0.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,19.1,0.0,9.8,0.408
"Coffee creamer, powder, fat free",N/A,2705608,1.9,15.7,73.4,431.0,73.4,0.0,1.0,0.03,0.0,136.0,902.0,229.0,0.02,0.01,0.8,1.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.9,0.0,3.8,0.0,11.5,0.198
"Coffee creamer, powder, flavored",N/A,2705607,0.68,21.5,75.4,482.0,58.0,1.2,5.0,0.63,17.0,28.0,90.0,123.0,0.23,0.135,1.3,0.0,0.41,0.0,0.0,0.004,0.027,0.084,0.004,1.0,0.0,9.1,0.0,19.4,0.0,0.618,0.229
"Coffee creamer, soy, liquid",N/A,2705610,1.0,9.97,11.4,136.0,11.4,0.0,9.0,0.03,0.0,64.0,191.0,67.0,0.02,0.0,1.1,1.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,1.94,0.0,7.55,0.027
"Coffee creamer,powder, sugar free, flavored",N/A,2705609,2.48,32.9,59.3,529.0,7.77,0.0,2.0,0.26,1.0,288.0,669.0,124.0,0.07,0.018,0.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,19.1,0.0,9.8,0.408
Coffee substitute,N/A,2710486,0.1,0.04,1.3,6.0,0.08,0.4,4.0,0.08,5.0,10.0,41.0,5.0,0.01,0.013,1.1,0.0,0.02,0.0,0.0,0.007,0.002,0.294,0.012,1.0,0.0,0.0,0.0,0.01,0.0,0.006,0.02
"Coffee, Cafe Mocha",N/A,2710410,2.56,1.47,10.2,64.0,9.3,0.0,96.0,0.02,25.0,84.0,149.0,46.0,0.38,0.037,1.5,63.0,0.02,0.8,0.2,0.041,0.133,0.877,0.043,2.0,0.33,0.2,6.0,0.855,0.0,0.303,0.058
"Coffee, Cafe Mocha, decaffeinated",N/A,2710413,2.56,1.47,10.2,64.0,9.3,0.0,96.0,0.02,25.0,84.0,149.0,46.0,0.38,0.037,1.5,63.0,0.02,0.8,0.2,0.041,0.133,0.877,0.043,2.0,0.33,0.2,6.0,0.855,0.0,0.303,0.058
"Coffee, Cafe Mocha, decaffeinated, nonfat",N/A,2710414,2.61,0.09,10.2,52.0,9.42,0.0,100.0,0.02,25.0,88.0,155.0,47.0,0.4,0.038,1.7,48.0,0.0,0.8,0.0,0.039,0.129,0.882,0.041,2.0,0.35,0.0,2.0,0.051,0.0,0.013,0.018
"Coffee, Cafe Mocha, decaffeinated, with non-dairy milk",N/A,2710415,0.88,1.24,8.8,50.0,7.12,0.1,116.0,0.26,23.0,33.0,68.0,54.0,0.21,0.066,0.6,27.0,1.57,0.8,0.0,0.014,0.058,0.866,0.01,4.0,0.28,0.7,0.0,0.134,0.0,0.593,0.4
"Coffee, Cafe Mocha, nonfat",N/A,2710411,2.6,0.09,10.2,52.0,9.37,0.0,100.0,0.02,25.0,87.0,155.0,47.0,0.4,0.038,1.6,48.0,0.0,0.8,0.0,0.039,0.129,0.903,0.041,2.0,0.35,0.0,2.0,0.051,0.0,0.013,0.019
"Coffee, Cafe Mocha, with non-dairy milk",N/A,2710412,0.88,1.24,8.76,50.0,7.08,0.1,116.0,0.26,23.0,33.0,68.0,54.0,0.21,0.066,0.6,27.0,1.57,0.8,0.0,0.014,0.059,0.888,0.01,4.0,0.28,0.7,0.0,0.134,0.0,0.59,0.398
"Coffee, Cappuccino",N/A,2710472,1.71,0.99,2.75,27.0,2.46,0.0,65.0,0.02,20.0,53.0,100.0,23.0,0.23,0.012,0.9,42.0,0.02,0.6,0.1,0.027,0.099,0.945,0.028,1.0,0.22,0.1,4.0,0.575,0.0,0.201,0.045
"Coffee, Cappuccino, decaffeinated",N/A,2710475,1.72,0.99,2.76,27.0,2.48,0.0,65.0,0.02,20.0,53.0,100.0,23.0,0.23,0.012,0.9,42.0,0.02,0.6,0.1,0.027,0.099,0.921,0.028,1.0,0.22,0.1,4.0,0.577,0.0,0.202,0.045
"Coffee, Cappuccino, decaffeinated, nonfat",N/A,2710476,1.75,0.07,2.77,19.0,2.56,0.0,68.0,0.02,20.0,55.0,104.0,24.0,0.24,0.013,1.0,32.0,0.0,0.6,0.0,0.026,0.096,0.924,0.027,1.0,0.24,0.0,2.0,0.04,0.0,0.009,0.018
"Coffee, Cappuccino, decaffeinated, with non-dairy milk",N/A,2710477,0.6,0.85,1.83,17.0,1.04,0.1,79.0,0.18,19.0,19.0,46.0,29.0,0.11,0.031,0.3,18.0,1.06,0.5,0.0,0.009,0.049,0.908,0.006,2.0,0.19,0.5,0.0,0.096,0.0,0.399,0.275
"Coffee, Cappuccino, nonfat",N/A,2710473,1.75,0.07,2.76,19.0,2.54,0.0,68.0,0.02,20.0,55.0,104.0,24.0,0.24,0.013,1.0,32.0,0.0,0.6,0.0,0.026,0.096,0.948,0.027,1.0,0.23,0.0,2.0,0.04,0.0,0.009,0.019
"Coffee, Cappuccino, with non-dairy milk",N/A,2710474,0.6,0.84,1.82,17.0,1.03,0.1,79.0,0.18,19.0,19.0,46.0,29.0,0.11,0.031,0.3,18.0,1.05,0.5,0.0,0.009,0.049,0.932,0.006,2.0,0.19,0.5,0.0,0.096,0.0,0.397,0.274
"Coffee, Cuban",N/A,2710381,0.11,0.19,7.84,34.0,6.28,0.0,2.0,0.12,75.0,7.0,108.0,13.0,0.05,0.047,0.0,0.0,0.01,0.0,0.2,0.001,0.167,4.88,0.002,1.0,0.0,0.1,0.0,0.086,0.0,0.0,0.086
"Coffee, Iced Cafe Mocha",N/A,2710443,1.58,0.91,8.95,50.0,7.99,0.0,60.0,0.02,22.0,55.0,104.0,35.0,0.26,0.04,1.0,39.0,0.02,0.5,0.1,0.028,0.095,0.889,0.03,1.0,0.26,0.1,4.0,0.531,0.0,0.186,0.041
"Coffee, Iced Cafe Mocha, decaffeinated",N/A,2710446,1.59,0.92,8.99,51.0,8.03,0.0,60.0,0.02,22.0,55.0,104.0,36.0,0.26,0.04,1.0,39.0,0.02,0.5,0.1,0.028,0.094,0.867,0.03,1.0,0.26,0.1,4.0,0.533,0.0,0.187,0.041
"Coffee, Iced Cafe Mocha, decaffeinated, nonfat",N/A,2710447,1.62,0.06,9.0,43.0,8.11,0.0,63.0,0.02,22.0,57.0,108.0,37.0,0.27,0.041,1.1,30.0,0.0,0.5,0.0,0.027,0.091,0.87,0.028,1.0,0.27,0.0,1.0,0.037,0.0,0.008,0.017
"Coffee, Iced Cafe Mocha, decaffeinated, with non-dairy milk",N/A,2710448,0.55,0.78,8.1,42.0,6.69,0.0,73.0,0.17,21.0,23.0,54.0,41.0,0.15,0.058,0.5,17.0,0.97,0.5,0.0,0.009,0.048,0.859,0.007,2.0,0.18,0.4,0.0,0.089,0.0,0.367,0.253
"Coffee, Iced Cafe Mocha, nonfat",N/A,2710444,1.61,0.07,8.96,43.0,8.07,0.0,63.0,0.02,22.0,56.0,108.0,36.0,0.27,0.041,1.1,30.0,0.0,0.5,0.0,0.027,0.092,0.892,0.028,1.0,0.27,0.0,1.0,0.037,0.0,0.008,0.017
"Coffee, Iced Cafe Mocha, with non-dairy milk",N/A,2710445,0.55,0.78,8.07,42.0,6.65,0.0,73.0,0.17,21.0,23.0,54.0,41.0,0.15,0.058,0.5,17.0,0.97,0.5,0.0,0.009,0.048,0.881,0.007,2.0,0.18,0.4,0.0,0.089,0.0,0.365,0.252
"Coffee, Iced Latte",N/A,2710431,1.75,1.01,2.81,27.0,2.51,0.0,66.0,0.02,20.0,54.0,102.0,23.0,0.23,0.012,0.9,43.0,0.02,0.6,0.1,0.031,0.101,0.964,0.032,1.0,0.28,0.1,4.0,0.587,0.0,0.206,0.046
"Coffee, Iced Latte, decaffeinated",N/A,2710437,1.75,1.01,2.82,27.0,2.53,0.0,66.0,0.02,20.0,54.0,102.0,23.0,0.23,0.012,0.9,43.0,0.02,0.6,0.1,0.031,0.101,0.94,0.032,1.0,0.28,0.1,4.0,0.589,0.0,0.207,0.046
"Coffee, Iced Latte, decaffeinated, flavored",N/A,2710440,1.69,0.99,6.12,40.0,5.84,0.0,64.0,0.02,19.0,53.0,99.0,23.0,0.22,0.012,0.9,41.0,0.02,0.5,0.1,0.03,0.098,0.908,0.031,1.0,0.28,0.1,4.0,0.569,0.0,0.2,0.044
"Coffee, Iced Latte, decaffeinated, nonfat",N/A,2710438,1.79,0.07,2.83,19.0,2.61,0.0,70.0,0.02,20.0,56.0,106.0,25.0,0.24,0.012,1.0,33.0,0.0,0.6,0.0,0.029,0.098,0.944,0.03,1.0,0.3,0.0,2.0,0.041,0.0,0.009,0.019
"Coffee, Iced Latte, decaffeinated, nonfat, flavored",N/A,2710441,1.73,0.08,6.13,32.0,5.92,0.0,67.0,0.02,19.0,55.0,103.0,24.0,0.23,0.012,1.0,32.0,0.0,0.5,0.0,0.028,0.095,0.911,0.029,1.0,0.29,0.0,1.0,0.04,0.0,0.008,0.018
"Coffee, Iced Latte, decaffeinated, with non-dairy milk",N/A,2710439,0.61,0.86,1.86,18.0,1.05,0.1,81.0,0.19,19.0,19.0,47.0,30.0,0.11,0.031,0.3,18.0,1.07,0.5,0.0,0.009,0.05,0.932,0.007,2.0,0.2,0.5,0.0,0.098,0.0,0.405,0.279
"Coffee, Iced Latte, decaffeinated, with non-dairy milk, flavored",N/A,2710442,0.59,0.84,5.18,31.0,4.41,0.1,78.0,0.18,18.0,19.0,45.0,29.0,0.11,0.031,0.4,18.0,1.04,0.5,0.0,0.009,0.049,0.9,0.006,2.0,0.19,0.5,0.0,0.095,0.0,0.392,0.27
"Coffee, Iced Latte, flavored",N/A,2710434,1.69,0.98,6.09,40.0,5.81,0.0,64.0,0.02,20.0,52.0,99.0,23.0,0.22,0.012,0.9,41.0,0.02,0.5,0.1,0.029,0.098,0.932,0.031,1.0,0.27,0.1,4.0,0.567,0.0,0.199,0.044
"Coffee, Iced Latte, nonfat",N/A,2710432,1.78,0.07,2.82,19.0,2.6,0.0,69.0,0.02,20.0,56.0,106.0,24.0,0.24,0.013,1.0,33.0,0.0,0.6,0.0,0.029,0.098,0.967,0.03,1.0,0.3,0.0,2.0,0.041,0.0,0.009,0.019
"Coffee, Iced Latte, nonfat, flavored",N/A,2710435,1.72,0.08,6.1,32.0,5.89,0.0,67.0,0.02,20.0,54.0,103.0,24.0,0.23,0.012,1.0,32.0,0.0,0.5,0.0,0.028,0.095,0.935,0.029,1.0,0.29,0.0,1.0,0.04,0.0,0.008,0.018
"Coffee, Iced Latte, with non-dairy milk",N/A,2710433,1.36,0.79,2.83,24.0,1.88,0.1,65.0,0.24,22.0,23.0,83.0,28.0,0.14,0.097,1.2,28.0,0.06,0.6,0.0,0.015,0.126,1.12,0.016,5.0,0.44,1.6,0.0,0.122,0.0,0.197,0.458
"Coffee, Iced Latte, with non-dairy milk, flavored",N/A,2710436,0.59,0.84,5.16,31.0,4.39,0.0,77.0,0.18,19.0,19.0,46.0,28.0,0.11,0.031,0.4,18.0,1.03,0.5,0.0,0.009,0.049,0.924,0.006,2.0,0.19,0.5,0.0,0.095,0.0,0.389,0.269
"Coffee, Latte",N/A,2710386,2.81,1.61,4.35,43.0,4.06,0.0,105.0,0.02,23.0,87.0,152.0,35.0,0.37,0.009,1.5,69.0,0.03,0.9,0.2,0.044,0.144,0.973,0.046,2.0,0.37,0.2,7.0,0.938,0.0,0.332,0.064
"Coffee, Latte, decaffeinated",N/A,2710392,2.82,1.62,4.37,43.0,4.09,0.0,106.0,0.02,23.0,87.0,152.0,35.0,0.37,0.009,1.5,69.0,0.02,0.9,0.2,0.045,0.144,0.95,0.046,2.0,0.37,0.2,7.0,0.943,0.0,0.334,0.064
"Coffee, Latte, decaffeinated, flavored",N/A,2710395,2.73,1.57,7.53,55.0,7.26,0.0,102.0,0.02,22.0,84.0,147.0,34.0,0.36,0.009,1.5,67.0,0.02,0.9,0.2,0.043,0.139,0.918,0.045,2.0,0.36,0.2,6.0,0.911,0.0,0.323,0.061
"Coffee, Latte, decaffeinated, nonfat",N/A,2710393,2.88,0.1,4.39,30.0,4.22,0.0,111.0,0.02,23.0,91.0,158.0,37.0,0.38,0.01,1.7,53.0,0.0,0.9,0.0,0.042,0.139,0.955,0.044,2.0,0.39,0.0,3.0,0.056,0.0,0.014,0.02
